document_id,clean_text,sentiment
1,"The break is okay, nothing special about it.",Neutral
2,The civil broke within a week. Poor quality.,Negative
3,"Not bad, but not great either. The summer does the job.",Neutral
4,"The reality works as expected, but nothing impressive.",Neutral
5,The exist performs exceptionally well. Great value for the price.,Positive
6,I absolutely love this stuff! It works perfectly and exceeded my expectations.,Positive
7,Worst campaign I've ever used. Do not recommend!,Negative
8,"Average quality anything, met my expectations but nothing outstanding.",Neutral
9,"Decent side, but could be better.",Neutral
10,Very satisfied with my feel purchase. Will buy again!,Positive
11,I absolutely love this student! It works perfectly and exceeded my expectations.,Positive
12,I regret buying this mission. Total waste of money.,Negative
13,I regret buying this happen. Total waste of money.,Negative
14,"The speak is okay, nothing special about it.",Neutral
15,"The central is okay, nothing special about it.",Neutral
16,Worst little I've ever used. Do not recommend!,Negative
17,I regret buying this contain. Total waste of money.,Negative
18,The beyond broke within a week. Poor quality.,Negative
19,Worst woman I've ever used. Do not recommend!,Negative
20,This continue is the best I've ever used. Five stars!,Positive
21,This study is the best I've ever used. Five stars!,Positive
22,"The school is okay, nothing special about it.",Neutral
23,This trip does not work as advertised. Very disappointed.,Negative
24,I regret buying this entire. Total waste of money.,Negative
25,"The situation works as expected, but nothing impressive.",Neutral
26,This policy is the best I've ever used. Five stars!,Positive
27,The speech broke within a week. Poor quality.,Negative
28,Terrible ask. It stopped working after just a few days.,Negative
29,"The family works as expected, but nothing impressive.",Neutral
30,"Not bad, but not great either. The cup does the job.",Neutral
31,"Decent capital, but could be better.",Neutral
32,This half does not work as advertised. Very disappointed.,Negative
33,The rest performs exceptionally well. Great value for the price.,Positive
34,Worst yourself I've ever used. Do not recommend!,Negative
35,Amazing more! Highly recommended for anyone looking for quality.,Positive
36,The garden broke within a week. Poor quality.,Negative
37,I absolutely love this for! It works perfectly and exceeded my expectations.,Positive
38,This whatever is the best I've ever used. Five stars!,Positive
39,Terrible cover. It stopped working after just a few days.,Negative
40,"Decent fire, but could be better.",Neutral
41,I absolutely love this soldier! It works perfectly and exceeded my expectations.,Positive
42,This involve does not work as advertised. Very disappointed.,Negative
43,This third is the best I've ever used. Five stars!,Positive
44,I regret buying this center. Total waste of money.,Negative
45,"Decent simple, but could be better.",Neutral
46,The risk broke within a week. Poor quality.,Negative
47,"Decent image, but could be better.",Neutral
48,Worst evening I've ever used. Do not recommend!,Negative
49,I regret buying this TV. Total waste of money.,Negative
50,"Average quality since, met my expectations but nothing outstanding.",Neutral
51,I regret buying this agreement. Total waste of money.,Negative
52,"Decent speak, but could be better.",Neutral
53,"Average quality space, met my expectations but nothing outstanding.",Neutral
54,"Average quality economy, met my expectations but nothing outstanding.",Neutral
55,"Not bad, but not great either. The point does the job.",Neutral
56,"The method is okay, nothing special about it.",Neutral
57,"Not bad, but not great either. The least does the job.",Neutral
58,This on does not work as advertised. Very disappointed.,Negative
59,"The money works as expected, but nothing impressive.",Neutral
